Id Igreja,Nome Igreja,Score,Nível,Nível (Cor),Algum gestor resp. Comunicação,Status Igreja
1.431,Cathedral of Praise,1.919,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
2.341,Lagoinha Toledo,1.433,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
2.175,Lagoinha Santo André Campus 2,1.255,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
2.532,Lagoinha Matriz,1.155,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
490,Igreja do Evangelho Quadrangular Morumbi Piracicaba,1.134,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
395,IGREJA BATISTA DA LIBERDADE,1.061,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
3.218,Kahal Church,1.045,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
2.251,Lagoinha Gama,1.008,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
3.096,IEQ SJBV,1.008,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
2.394,Lagoinha Montenegro,987,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
179,Igreja Cara de Leão de Vilar dos Teles,962,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
1.962,Federación Asambleas de Dios de España,840,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Não,publicado
3.118,Manifestando o Reino Church,811,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
2.355,Lagoinha Barcelona,798,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
3.001,Família Quadrangular Embu das Artes,790,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,entregue
1.905,Igreja Apostólica Batista Viva,781,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
2.748,Igreja do Evangelho Quadrangular Sede Piracicaba,730,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
1.882,Igreja Do Nazareno Assú,713,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
3.042,IEQ Silva Azevedo (Regiao 533 Sumaré),680,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,entregue
2.402,Lagoinha Santana Do Livramento,672,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
1.181,Stronger Hope Baptist Church,651,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
2.480,Nova Batista Tatuapé,651,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
1.148,Luis Morales Ministries,630,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Não,publicado
2.826,Lagoinha Itaquaquecetuba,630,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
3.447,IBC Santo André,625,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
1.256,Igreja Missionária Central de Maringá,609,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
2.676,Lagoinha Fazenda Castro (Neves),609,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
817,Centro Cristiano Nueva Vida,588,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
3.143,ICB Mamoeiros,588,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,entregue
1.265,La nuestra 1130,567,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
2.374,Lagoinha Concórdia,567,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
3.266,Quadrangular Estrada de Paciência,567,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
869,Una Casa en la Roca Inc.,525,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
2.261,Lagoinha Macaíba,525,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
2.693,Lagoinha Pratápolis,525,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Não,publicado
3.142,ICB NOVA MUTUM,525,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
1.183,Unity Fellowship Baptist Church,504,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
2.293,Lagoinha Aracaju,462,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
3.350,BETEL CHURCH,462,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
801,Igreja Batista da Graça em Taubaté,441,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
2.939,Igreja Batista Urbana,420,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
804,Vida Worship Center,399,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
276,IGREJA EVANGÉLICA NOVA ALIANÇA,388,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
1.172,First Baptist Church of Passtown,378,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
2.759,Praisedome Nation,378,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
