Id Igreja,Nome Igreja,Status Igreja,Score,Algum gestor resp. eventos,Nível,Nível (Cor)
26,Reobote,publicado,1.337,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
2,Fonte de Vida,publicado,650,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
1.960,Iglesia El Sembrador,publicado,621,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
458,Além do Véu Santo André,publicado,549,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
2.176,Lagoinha Cuiabá,publicado,539,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
103,IADMIG - Igreja Assembleia de Deus Ministério Guarapari,publicado,482,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
1.825,Imagine Church,publicado,467,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
2.237,Lagoinha Porto Velho,publicado,463,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
287,Lagoinha Madrid,publicado,416,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
456,Comunidade Evangélica Além do Véu - São Bernardo do Campo,publicado,409,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
2.289,Lagoinha Salvador - Pituba,publicado,408,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
435,IGREJA CRISTÃ RENOVO,publicado,350,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
2.248,Lagoinha Rondonópolis,publicado,332,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
2.400,Lagoinha Porto Alegre Ipiranga,publicado,332,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
2.200,Lagoinha Novo Hamburgo,publicado,311,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
2.763,Lagoinha Manaus Torres,publicado,297,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
2.344,Lagoinha Balneário Piçarras,publicado,284,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
469,IAAP - VILA MATILDE,entregue,270,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
2.663,Lagoinha Ipatinga MG,publicado,259,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
516,Igreja do Evangelho Quadrangular - Sede Uberaba,publicado,256,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
944,Comunidade Evangélica Restaurar,publicado,252,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
1.454,Lagoinha Fort Myers Church,publicado,249,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
2.831,Lagoinha Deerfield,publicado,242,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
2.175,Lagoinha Santo André Campus 2,publicado,240,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
183,Lagoinha Boston Church,publicado,234,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
431,A Ponte BH,publicado,220,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
2.394,Lagoinha Montenegro,publicado,215,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
1.354,Igreja Evangélica Kyrios,publicado,212,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
2.003,Greater Immanuel Church,publicado,212,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
1.262,Iglesia Fluir del Espíritu,publicado,207,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
3.401,AD Fonte de Vida Laranjeiras,entregue,196,Não,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
488,InPeace Church,publicado,188,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
133,Lagoinha Orlando Church,publicado,183,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
2.236,Lagoinha Rio Branco,publicado,182,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
586,Lagoinha Tampa Church,publicado,178,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
1.881,Batista Lagoinha Faro,publicado,172,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
2.340,Lagoinha Curitiba,publicado,170,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
2.240,Lagoinha Floresta,publicado,167,Não,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
2.225,Lagoinha Palmas,publicado,159,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
2.870,Lagoinha Framingham,publicado,159,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
2.047,Brazilian American Baptist church,publicado,157,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
2.944,Nona IEQ Araucária,publicado,154,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
1.567,Igreja Lagoinha Porto,publicado,151,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
2.463,Lagoinha Santos,publicado,149,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
185,Igreja Batista Filadelfia em Taguatinga,publicado,148,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
2.379,Lagoinha Barra Velha,publicado,143,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
